dataset,subgroup,model,nab_score,has_anomaly_in_test,calibration
microsoft,application-crash-rate-1,GRU,30.7416,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,application-crash-rate-1,IsolationForest,36.0352,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,application-crash-rate-1,TCN,20.9158,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-1,TSMixer,20.873,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-1,Transformer,21.3641,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,application-crash-rate-2,GRU,56.9231,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-2,IsolationForest,51.2587,1,"W=80,W'=1,theta=2.75 (grid on val)"
microsoft,application-crash-rate-2,TCN,47.5819,1,"W=55,W'=1,theta=3.75 (grid on val)"
microsoft,application-crash-rate-2,TSMixer,57.28,1,"W=80,W'=1,theta=3.25 (grid on val)"
microsoft,application-crash-rate-2,Transformer,29.762,1,"W=10,W'=1,theta=3.00 (grid on val)"
microsoft,consumer-purchase-rate,GRU,88.3617,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,consumer-purchase-rate,IsolationForest,25.4507,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,consumer-purchase-rate,TCN,59.1553,1,"W=50,W'=1,theta=3.50 (grid on val)"
microsoft,consumer-purchase-rate,TSMixer,56.5363,1,"W=80,W'=1,theta=3.50 (grid on val)"
microsoft,consumer-purchase-rate,Transformer,-9.1667,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,data-ingress-rate,GRU,-132.0238,1,"W=80,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,IsolationForest,-27.5,1,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,TCN,-159.5238,1,"W=80,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,TSMixer,-92.7381,1,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,Transformer,-151.7669,1,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,GRU,36.0576,1,"W=18,W'=1,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,IsolationForest,16.9755,1,"W=74,W'=1,theta=3.50 (grid on val)"
microsoft,ecommerce-api-incoming-rps,TCN,-2.5341,1,"W=18,W'=1,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,TSMixer,37.7908,1,"W=18,W'=3,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,Transformer,35.2477,1,"W=18,W'=1,theta=4.00 (grid on val)"
microsoft,middle-tier-api-dependency-latency,GRU,42.2612,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,middle-tier-api-dependency-latency,IsolationForest,62.1489,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,middle-tier-api-dependency-latency,TCN,63.1623,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,middle-tier-api-dependency-latency,TSMixer,57.6933,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,middle-tier-api-dependency-latency,Transformer,46.6078,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,mongodb-application-rps,GRU,0.0,0,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,IsolationForest,0.0,0,"W=63.5,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,TCN,0.0,0,"W=47,W'=2,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,TSMixer,0.0,0,"W=47,W'=3,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,Transformer,0.0,0,"W=118.5,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,GRU,24.0163,1,"W=60,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,IsolationForest,-1.164,1,"W=80,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,TCN,13.8873,1,"W=60,W'=3,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,TSMixer,6.8887,1,"W=60,W'=3,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,Transformer,17.7213,1,"W=60,W'=1,theta=4.00 (grid on val)"
microsoft,service-unavailable,GRU,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,IsolationForest,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,TCN,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,TSMixer,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,Transformer,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
nab,artificialNoAnomaly,GRU,0.0,0,"W=48,W'=1,theta=3.50 (grid on val)"
nab,artificialNoAnomaly,IsolationForest,0.0,0,"W=24,W'=1,theta=3.50 (grid on val)"
nab,artificialNoAnomaly,TCN,0.0,0,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialNoAnomaly,TSMixer,0.0,0,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialNoAnomaly,Transformer,0.0,0,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,GRU,-14.6667,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,IsolationForest,16.6699,1,"W=24,W'=1,theta=3.75 (grid on val)"
nab,artificialWithAnomaly,TCN,0.0,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,TSMixer,-2.0952,1,"W=12,W'=1,theta=3.50 (grid on val)"
nab,artificialWithAnomaly,Transformer,14.1562,1,"W=24,W'=1,theta=3.75 (grid on val)"
nab,realAWSCloudwatch,GRU,11.2642,1,"W=24,W'=1,theta=3.50 (grid on val)"
