dataset,subgroup,file,model,has_anomaly_in_test,n_test,n_train,wlen,W,Wp,theta,val_metric,n_detections,n_windows_test,nab_score,raw,null,ideal,ok
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_no_noise.csv,IsolationForest,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_perfect_square_wave.csv,GRU,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_small_noise.csv,IsolationForest,False,1210,2822,64,24,1,4.0,-0.25,1,0,0.0,"{'tp': 0.0, 'fp': 1.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.09}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_flatline.csv,GRU,False,1210,2822,64,48,1,2.5,-0.0,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_no_noise.csv,GRU,False,1210,2822,64,80,1,4.0,-0.0,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_no_noise.csv,TCN,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_small_noise.csv,GRU,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_small_noise.csv,TCN,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_perfect_square_wave.csv,TSMixer,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
nab,artificialNoAnomaly,artificialNoAnomaly/art_daily_perfect_square_wave.csv,IsolationForest,False,1210,2822,64,12,1,3.5,-0.75,0,0,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}","{'tp': 0.0, 'fp': 0.0, 'tn': 1210.0, 'fn': 0, 'n_windows': 0, 'weighted': 266.2}",True
