dataset,subgroup,model,nab_score,has_anomaly_in_test,calibration
microsoft,application-crash-rate-1,GRU,30.7416,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,application-crash-rate-1,IsolationForest,26.4785,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,application-crash-rate-1,TCN,30.4439,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-1,TSMixer,20.873,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-1,Transformer,21.3641,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-2,GRU,56.8183,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-2,IsolationForest,47.5384,1,"W=80,W'=1,theta=2.75 (grid on val)"
microsoft,application-crash-rate-2,TCN,47.674,1,"W=80,W'=1,theta=3.25 (grid on val)"
microsoft,application-crash-rate-2,TSMixer,53.0936,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,application-crash-rate-2,Transformer,60.2966,1,"W=50,W'=1,theta=3.25 (grid on val)"
microsoft,consumer-purchase-rate,GRU,84.4331,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,consumer-purchase-rate,IsolationForest,17.1173,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,consumer-purchase-rate,TCN,53.8662,1,"W=80,W'=1,theta=3.50 (grid on val)"
microsoft,consumer-purchase-rate,TSMixer,42.0125,1,"W=80,W'=2,theta=3.50 (grid on val)"
microsoft,consumer-purchase-rate,Transformer,-24.881,1,"W=45,W'=1,theta=2.75 (grid on val)"
microsoft,data-ingress-rate,GRU,-126.7857,1,"W=80,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,IsolationForest,-22.2619,1,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,TCN,-101.8155,1,"W=80,W'=1,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,TSMixer,-95.4574,1,"W=47,W'=3,theta=4.00 (grid on val)"
microsoft,data-ingress-rate,Transformer,-109.7619,1,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,GRU,31.8671,1,"W=18,W'=3,theta=3.50 (grid on val)"
microsoft,ecommerce-api-incoming-rps,IsolationForest,35.1943,1,"W=74,W'=1,theta=3.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,TCN,14.3931,1,"W=18,W'=1,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,TSMixer,15.2,1,"W=37,W'=3,theta=4.00 (grid on val)"
microsoft,ecommerce-api-incoming-rps,Transformer,34.9619,1,"W=74,W'=1,theta=4.00 (grid on val)"
microsoft,middle-tier-api-dependency-latency,GRU,34.4028,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,middle-tier-api-dependency-latency,IsolationForest,65.9636,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,middle-tier-api-dependency-latency,TCN,54.0667,1,"W=80,W'=1,theta=3.00 (grid on val)"
microsoft,middle-tier-api-dependency-latency,TSMixer,50.5394,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,middle-tier-api-dependency-latency,Transformer,60.098,1,"W=80,W'=1,theta=2.50 (grid on val)"
microsoft,mongodb-application-rps,GRU,0.0,0,"W=47,W'=2,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,IsolationForest,0.0,0,"W=47,W'=1,theta=3.75 (grid on val)"
microsoft,mongodb-application-rps,TCN,0.0,0,"W=47,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,TSMixer,0.0,0,"W=71,W'=3,theta=4.00 (grid on val)"
microsoft,mongodb-application-rps,Transformer,0.0,0,"W=47,W'=2,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,GRU,26.1014,1,"W=60,W'=3,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,IsolationForest,-1.164,1,"W=60,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,TCN,15.5628,1,"W=241,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,TSMixer,4.4067,1,"W=60,W'=1,theta=4.00 (grid on val)"
microsoft,mongodb-machine-rps,Transformer,4.3598,1,"W=60,W'=1,theta=4.00 (grid on val)"
microsoft,service-unavailable,GRU,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,IsolationForest,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,TCN,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,TSMixer,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
microsoft,service-unavailable,Transformer,0.0,0,"W=47,W'=1,theta=2.50 (grid on val)"
