dataset,subgroup,file,model,has_anomaly_in_test,n_test,n_train,wlen,W,Wp,theta,val_metric,n_detections,n_windows_test,nab_score,raw,null,ideal,ok
microsoft,application-crash-rate-1,application-crash-rate-1/app1-03.csv,IsolationForest,True,213,497,50,80,1,2.5,-0.0,21,1,90.47619047619035,"{'tp': 1.065, 'fp': 1.5, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.14}","{'tp': 0.0, 'fp': 0.0, 'tn': 192.0, 'fn': 1, 'n_windows': 1, 'weighted': 41.24}","{'tp': 1.1, 'fp': 0.0, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.34}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-04.csv,GRU,True,213,497,50,80,1,2.5,-0.0,0,6,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 6.6000000000000005, 'fp': 0.0, 'tn': 165.0, 'fn': 0, 'n_windows': 6, 'weighted': 42.9}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-01.csv,GRU,True,107,251,25,10,1,3.0,-0.75,0,4,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 4.4, 'fp': 0.0, 'tn': 79.0, 'fn': 0, 'n_windows': 4, 'weighted': 21.78}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-01.csv,TCN,True,107,251,25,10,1,3.0,-0.75,0,4,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 4.4, 'fp': 0.0, 'tn': 79.0, 'fn': 0, 'n_windows': 4, 'weighted': 21.78}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-04.csv,TCN,True,213,497,50,80,1,2.5,-0.0,0,6,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 6.6000000000000005, 'fp': 0.0, 'tn': 165.0, 'fn': 0, 'n_windows': 6, 'weighted': 42.9}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-04.csv,Transformer,True,213,497,50,80,1,2.5,-0.0,0,6,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 6.6000000000000005, 'fp': 0.0, 'tn': 165.0, 'fn': 0, 'n_windows': 6, 'weighted': 42.9}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-01.csv,IsolationForest,True,107,251,25,20,1,4.0,-0.25,0,4,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 4.4, 'fp': 0.0, 'tn': 79.0, 'fn': 0, 'n_windows': 4, 'weighted': 21.78}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-02.csv,GRU,True,213,497,50,80,1,4.0,-0.0,14,4,98.67063492063494,"{'tp': 4.288333333333333, 'fp': 0.0, 'tn': 119.0, 'fn': 0, 'n_windows': 4, 'weighted': 30.468333333333334}","{'tp': 0.0, 'fp': 0.0, 'tn': 119.0, 'fn': 4, 'n_windows': 4, 'weighted': 22.18}","{'tp': 4.4, 'fp': 0.0, 'tn': 119.0, 'fn': 0, 'n_windows': 4, 'weighted': 30.58}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-03.csv,GRU,True,213,497,50,80,1,2.5,-0.0,2,1,98.57142857142851,"{'tp': 1.07, 'fp': 0.0, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.31}","{'tp': 0.0, 'fp': 0.0, 'tn': 192.0, 'fn': 1, 'n_windows': 1, 'weighted': 41.24}","{'tp': 1.1, 'fp': 0.0, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.34}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-03.csv,TCN,True,213,497,50,80,1,3.0,-0.0,8,1,93.57142857142867,"{'tp': 1.075, 'fp': 1.0, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.205000000000005}","{'tp': 0.0, 'fp': 0.0, 'tn': 192.0, 'fn': 1, 'n_windows': 1, 'weighted': 41.24}","{'tp': 1.1, 'fp': 0.0, 'tn': 192.0, 'fn': 0, 'n_windows': 1, 'weighted': 43.34}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-05.csv,GRU,True,213,497,50,80,1,2.5,-0.0,0,7,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 7.700000000000001, 'fp': 0.0, 'tn': 187.0, 'fn': 0, 'n_windows': 7, 'weighted': 48.84}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-05.csv,TCN,True,213,497,50,80,1,2.5,-0.0,0,7,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 7.700000000000001, 'fp': 0.0, 'tn': 187.0, 'fn': 0, 'n_windows': 7, 'weighted': 48.84}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-01.csv,Transformer,True,107,251,25,10,1,3.0,-0.75,0,4,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 4.4, 'fp': 0.0, 'tn': 79.0, 'fn': 0, 'n_windows': 4, 'weighted': 21.78}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-01.csv,TSMixer,True,107,251,25,10,1,3.0,-0.75,0,4,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 0.0, 'fp': 0.0, 'tn': 79.0, 'fn': 4, 'n_windows': 4, 'weighted': 13.379999999999999}","{'tp': 4.4, 'fp': 0.0, 'tn': 79.0, 'fn': 0, 'n_windows': 4, 'weighted': 21.78}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-04.csv,TSMixer,True,213,497,50,80,1,2.5,-0.0,0,6,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 6.6000000000000005, 'fp': 0.0, 'tn': 165.0, 'fn': 0, 'n_windows': 6, 'weighted': 42.9}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-04.csv,IsolationForest,True,213,497,50,80,1,2.5,-0.0,25,6,48.371489621489594,"{'tp': 3.2048076923076922, 'fp': 1.0, 'tn': 165.0, 'fn': 3, 'n_windows': 6, 'weighted': 36.39480769230769}","{'tp': 0.0, 'fp': 0.0, 'tn': 165.0, 'fn': 6, 'n_windows': 6, 'weighted': 30.299999999999997}","{'tp': 6.6000000000000005, 'fp': 0.0, 'tn': 165.0, 'fn': 0, 'n_windows': 6, 'weighted': 42.9}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-05.csv,IsolationForest,True,213,497,50,80,1,2.5,-0.0,11,7,26.683673469387745,"{'tp': 2.06, 'fp': 1.25, 'tn': 187.0, 'fn': 5, 'n_windows': 7, 'weighted': 38.0625}","{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 7.700000000000001, 'fp': 0.0, 'tn': 187.0, 'fn': 0, 'n_windows': 7, 'weighted': 48.84}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-06.csv,GRU,True,213,497,50,80,1,2.5,-0.0,0,2,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 2.2, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 2, 'weighted': 45.540000000000006}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-05.csv,Transformer,True,213,497,50,80,1,2.5,-0.0,0,7,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 7.700000000000001, 'fp': 0.0, 'tn': 187.0, 'fn': 0, 'n_windows': 7, 'weighted': 48.84}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-05.csv,TSMixer,True,213,497,50,80,1,2.5,-0.0,0,7,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 0.0, 'fp': 0.0, 'tn': 187.0, 'fn': 7, 'n_windows': 7, 'weighted': 34.14}","{'tp': 7.700000000000001, 'fp': 0.0, 'tn': 187.0, 'fn': 0, 'n_windows': 7, 'weighted': 48.84}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-06.csv,TCN,True,213,497,50,80,1,2.5,-0.0,0,2,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 2.2, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 2, 'weighted': 45.540000000000006}",True
microsoft,application-crash-rate-1,application-crash-rate-1/app1-06.csv,Transformer,True,213,497,50,80,1,2.5,-0.0,0,2,0.0,"{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 0.0, 'fp': 0.0, 'tn': 197.0, 'fn': 2, 'n_windows': 2, 'weighted': 41.34}","{'tp': 2.2, 'fp': 0.0, 'tn': 197.0, 'fn': 0, 'n_windows': 2, 'weighted': 45.540000000000006}",True
