step,train_loss,f1,accuracy,precision,recall,model,seed
0,0.6926922798156738,0.6791260134670881,0.5141489804411152,0.5141489804411152,1.0,graphsage,2
1,0.6860595345497131,0.7801335113484646,0.7144541545290609,0.6456859971711457,0.9852961014434102,graphsage,2
2,0.6747134923934937,0.8358943577430973,0.8103759189901512,0.7530009732886341,0.9392958316471064,graphsage,2
3,0.6596842408180237,0.8417749325299693,0.8251491191566098,0.7870892018779343,0.9046270066100094,graphsage,2
4,0.6420465707778931,0.8455745091728355,0.8336107643223748,0.8086678158089141,0.8860110616484554,graphsage,2
5,0.6212548017501831,0.8476587974435894,0.837980302399778,0.8204772124731726,0.8767030891676784,graphsage,2
6,0.5971171855926514,0.8485246763488205,0.8401303925648494,0.8272680676576115,0.8709024686361797,graphsage,2
7,0.5698145031929016,0.8504864650208485,0.8433208489388264,0.8348492723492723,0.8667206259274248,graphsage,2
8,0.5398997664451599,0.8527121464226289,0.8465113053128034,0.8415659485023647,0.8641575610414137,graphsage,2
9,0.508539617061615,0.8548699779397019,0.8494243306977389,0.8473363371322555,0.86253878321867,graphsage,2
10,0.4773791432380676,0.8575258008309878,0.8525454293244555,0.8520442136103342,0.8630783758262511,graphsage,2
11,0.448072612285614,0.8606540863608891,0.8560826744347344,0.856913613265579,0.8644273573452044,graphsage,2
12,0.42193979024887085,0.8635232393892514,0.8592731308087114,0.861148376710491,0.8659112370160529,graphsage,2
13,0.3996899425983429,0.8671159029649596,0.8632265224025524,0.8662986400969436,0.8679347092944827,graphsage,2
14,0.3813638687133789,0.8719158689497101,0.868220280205299,0.8714458967794098,0.8723863483070282,graphsage,2
15,0.3662811517715454,0.877604693505968,0.8741156887224303,0.8774271844660194,0.877782274382841,graphsage,2
16,0.35337793827056885,0.8811160533764658,0.8776529338327091,0.8804040404040404,0.8818292189397006,graphsage,2
17,0.34166282415390015,0.8853387259858443,0.8820224719101124,0.8848019401778496,0.8858761634965601,graphsage,2
18,0.33036720752716064,0.8893530997304582,0.8861145789984741,0.8885148781473003,0.8901929043572103,graphsage,2
19,0.319114089012146,0.8943932153193781,0.8911776945484811,0.892530897367007,0.8962633211924996,graphsage,2
20,0.30807754397392273,0.8974393530997304,0.8944375086697184,0.896593510165612,0.8982867934709294,graphsage,2
21,0.29725968837738037,0.8995956873315364,0.8966569565820502,0.8987478120371617,0.9004451639012545,graphsage,2
22,0.28672415018081665,0.9003565901904057,0.8972811763073936,0.8981208053691275,0.9026035343315797,graphsage,2
23,0.27658724784851074,0.9020004041220449,0.8990844777361632,0.9007263922518159,0.9032780250910563,graphsage,2
24,0.2668025493621826,0.9030825144703191,0.9001248439450686,0.9011417058428476,0.9050317010656954,graphsage,2
25,0.2573431730270386,0.9040431266846362,0.9012345679012346,0.9031910596472331,0.9048968029138,graphsage,2
26,0.24821530282497406,0.9045917335311172,0.9018587876265779,0.90428686977622,0.9048968029138,graphsage,2
27,0.23944593966007233,0.9068356478360523,0.9041475932861701,0.9063468535237839,0.9073249696479159,graphsage,2
28,0.23108193278312683,0.9089561291192129,0.9062976834512415,0.9081605171020738,0.9097531363820316,graphsage,2
29,0.22318385541439056,0.9108924238339176,0.9083090581217922,0.9102788629933989,0.9115068123566707,graphsage,2
30,0.2158118188381195,0.9124560929478519,0.9101123595505618,0.9138140982275741,0.9111021179009847,graphsage,2
31,0.20899155735969543,0.9144399460188933,0.9120543764738521,0.9148103145673012,0.9140698772426817,graphsage,2
32,0.20268750190734863,0.9163395153648302,0.914273824386184,0.919576144545578,0.9131255901794145,graphsage,2
33,0.19680695235729218,0.9186893203883495,0.916354556803995,0.9183178325919935,0.9190611088628086,graphsage,2
34,0.19127674400806427,0.9181756296800545,0.9166319877930365,0.9267555311254638,0.9097531363820316,graphsage,2
35,0.18625284731388092,0.9214386176411493,0.9186433624635871,0.9150039904229849,0.9279643868878996,graphsage,2
36,0.1821843683719635,0.9169813911968687,0.916146483562214,0.9338461538461539,0.9007149602050452,graphsage,2
37,0.17821359634399414,0.9229424421732114,0.9205160216396171,0.9200965276846762,0.9258060164575745,graphsage,2
38,0.17199108004570007,0.9221411192214112,0.920099875156055,0.9240146281999188,0.9202751922298664,graphsage,2
39,0.16689103841781616,0.9192189105858171,0.918227215980025,0.934001670843776,0.9048968029138,graphsage,2
40,0.16429327428340912,0.9234810723427186,0.9212095991122209,0.922238665411005,0.924726831242412,graphsage,2
41,0.1596381664276123,0.9230040595399188,0.9210708836177001,0.9258857065291163,0.9201402940779712,graphsage,2
42,0.1553686559200287,0.9200328632069013,0.918990151199889,0.9341025997497567,0.9063806825846485,graphsage,2
43,0.15312467515468597,0.9242086792198151,0.9221112498266056,0.9247703943814155,0.9236476460272495,graphsage,2
44,0.14904740452766418,0.9240857162171298,0.9221112498266056,0.9261517615176151,0.9220288682045056,graphsage,2
45,0.14570246636867523,0.9206370907102331,0.9194756554307116,0.9332039911308204,0.9084041548630784,graphsage,2
46,0.14341014623641968,0.9247733730212421,0.9228741850464697,0.9275342651648799,0.9220288682045056,graphsage,2
47,0.13964127004146576,0.925113106894456,0.9230822582882507,0.9261763115197404,0.9240523404829354,graphsage,2
48,0.13700813055038452,0.9223108928449628,0.9210015258704397,0.9328090507726269,0.912046404964252,graphsage,2
49,0.13454928994178772,0.9247238972830137,0.92294354279373,0.9289409202286959,0.9205449885336571,graphsage,2
50,0.131241112947464,0.9250489104769615,0.92294354279373,0.9252361673414305,0.9248617293943073,graphsage,2
51,0.12904046475887299,0.9234225035736165,0.9219725343320849,0.9319868095630668,0.9150141643059491,graphsage,2
52,0.12648475170135498,0.9240677966101695,0.9223193230683867,0.9288537549407114,0.9193309051665992,graphsage,2
53,0.12363883852958679,0.9247050893158072,0.9225273963101679,0.9241444354621395,0.9252664238499932,graphsage,2
54,0.12162000685930252,0.922794617371211,0.9212095991122209,0.9298726201890152,0.9158235532173209,graphsage,2
55,0.11916861683130264,0.9233791748526523,0.9215563878485227,0.9274632553075667,0.9193309051665992,graphsage,2
56,0.11672691255807877,0.924538471904056,0.9223193230683867,0.923542872526585,0.9255362201537839,graphsage,2
57,0.11488558351993561,0.923202170963365,0.9214870301012623,0.9286201719666985,0.9178470254957507,graphsage,2
