shard,image,label
train-00000-of-00009.parquet,images/0000.png,masks/0000.png
train-00000-of-00009.parquet,images/0001.png,masks/0001.png
train-00000-of-00009.parquet,images/0002.png,masks/0002.png
train-00000-of-00009.parquet,images/0003.png,masks/0003.png
train-00000-of-00009.parquet,images/0004.png,masks/0004.png
train-00000-of-00009.parquet,images/0005.png,masks/0005.png
train-00000-of-00009.parquet,images/0006.png,masks/0006.png
train-00000-of-00009.parquet,images/0007.png,masks/0007.png
train-00000-of-00009.parquet,images/0008.png,masks/0008.png
train-00000-of-00009.parquet,images/0009.png,masks/0009.png
train-00000-of-00009.parquet,images/0010.png,masks/0010.png
train-00000-of-00009.parquet,images/0011.png,masks/0011.png
train-00000-of-00009.parquet,images/0012.png,masks/0012.png
train-00000-of-00009.parquet,images/0013.png,masks/0013.png
train-00000-of-00009.parquet,images/0014.png,masks/0014.png
train-00000-of-00009.parquet,images/0015.png,masks/0015.png
train-00000-of-00009.parquet,images/0016.png,masks/0016.png
train-00000-of-00009.parquet,images/0017.png,masks/0017.png
train-00000-of-00009.parquet,images/0018.png,masks/0018.png
train-00000-of-00009.parquet,images/0019.png,masks/0019.png
train-00000-of-00009.parquet,images/0020.png,masks/0020.png
train-00000-of-00009.parquet,images/0021.png,masks/0021.png
train-00000-of-00009.parquet,images/0022.png,masks/0022.png
train-00000-of-00009.parquet,images/0023.png,masks/0023.png
train-00000-of-00009.parquet,images/0024.png,masks/0024.png
train-00000-of-00009.parquet,images/0025.png,masks/0025.png
train-00000-of-00009.parquet,images/0026.png,masks/0026.png
train-00000-of-00009.parquet,images/0027.png,masks/0027.png
train-00000-of-00009.parquet,images/0028.png,masks/0028.png
train-00000-of-00009.parquet,images/0029.png,masks/0029.png
train-00000-of-00009.parquet,images/0030.png,masks/0030.png
train-00000-of-00009.parquet,images/0031.png,masks/0031.png
train-00000-of-00009.parquet,images/0032.png,masks/0032.png
train-00000-of-00009.parquet,images/0033.png,masks/0033.png
train-00000-of-00009.parquet,images/0034.png,masks/0034.png
train-00000-of-00009.parquet,images/0035.png,masks/0035.png
train-00000-of-00009.parquet,images/0036.png,masks/0036.png
train-00000-of-00009.parquet,images/0037.png,masks/0037.png
train-00000-of-00009.parquet,images/0038.png,masks/0038.png
train-00000-of-00009.parquet,images/0039.png,masks/0039.png
train-00000-of-00009.parquet,images/0040.png,masks/0040.png
train-00000-of-00009.parquet,images/0041.png,masks/0041.png
train-00000-of-00009.parquet,images/0042.png,masks/0042.png
train-00000-of-00009.parquet,images/0043.png,masks/0043.png
train-00000-of-00009.parquet,images/0044.png,masks/0044.png
train-00000-of-00009.parquet,images/0045.png,masks/0045.png
train-00000-of-00009.parquet,images/0046.png,masks/0046.png
train-00000-of-00009.parquet,images/0047.png,masks/0047.png
train-00000-of-00009.parquet,images/0048.png,masks/0048.png
train-00000-of-00009.parquet,images/0049.png,masks/0049.png
train-00000-of-00009.parquet,images/0050.png,masks/0050.png
train-00000-of-00009.parquet,images/0051.png,masks/0051.png
train-00000-of-00009.parquet,images/0052.png,masks/0052.png
train-00000-of-00009.parquet,images/0053.png,masks/0053.png
train-00000-of-00009.parquet,images/0054.png,masks/0054.png
train-00000-of-00009.parquet,images/0055.png,masks/0055.png
train-00000-of-00009.parquet,images/0056.png,masks/0056.png
train-00000-of-00009.parquet,images/0057.png,masks/0057.png
train-00000-of-00009.parquet,images/0058.png,masks/0058.png
train-00000-of-00009.parquet,images/0059.png,masks/0059.png
train-00000-of-00009.parquet,images/0060.png,masks/0060.png
train-00000-of-00009.parquet,images/0061.png,masks/0061.png
train-00000-of-00009.parquet,images/0062.png,masks/0062.png
train-00000-of-00009.parquet,images/0063.png,masks/0063.png
train-00000-of-00009.parquet,images/0064.png,masks/0064.png
train-00000-of-00009.parquet,images/0065.png,masks/0065.png
train-00000-of-00009.parquet,images/0066.png,masks/0066.png
train-00000-of-00009.parquet,images/0067.png,masks/0067.png
train-00000-of-00009.parquet,images/0068.png,masks/0068.png
train-00000-of-00009.parquet,images/0069.png,masks/0069.png
train-00000-of-00009.parquet,images/0070.png,masks/0070.png
train-00000-of-00009.parquet,images/0071.png,masks/0071.png
train-00000-of-00009.parquet,images/0072.png,masks/0072.png
train-00000-of-00009.parquet,images/0073.png,masks/0073.png
train-00000-of-00009.parquet,images/0074.png,masks/0074.png
train-00000-of-00009.parquet,images/0075.png,masks/0075.png
train-00000-of-00009.parquet,images/0076.png,masks/0076.png
train-00000-of-00009.parquet,images/0077.png,masks/0077.png
train-00000-of-00009.parquet,images/0078.png,masks/0078.png
train-00000-of-00009.parquet,images/0079.png,masks/0079.png
train-00000-of-00009.parquet,images/0080.png,masks/0080.png
train-00000-of-00009.parquet,images/0081.png,masks/0081.png
train-00000-of-00009.parquet,images/0082.png,masks/0082.png
train-00000-of-00009.parquet,images/0083.png,masks/0083.png
train-00000-of-00009.parquet,images/0084.png,masks/0084.png
train-00000-of-00009.parquet,images/0085.png,masks/0085.png
train-00000-of-00009.parquet,images/0086.png,masks/0086.png
train-00000-of-00009.parquet,images/0087.png,masks/0087.png
train-00000-of-00009.parquet,images/0088.png,masks/0088.png
train-00000-of-00009.parquet,images/0089.png,masks/0089.png
train-00000-of-00009.parquet,images/0090.png,masks/0090.png
train-00000-of-00009.parquet,images/0091.png,masks/0091.png
train-00000-of-00009.parquet,images/0092.png,masks/0092.png
train-00000-of-00009.parquet,images/0093.png,masks/0093.png
train-00000-of-00009.parquet,images/0094.png,masks/0094.png
train-00000-of-00009.parquet,images/0095.png,masks/0095.png
train-00000-of-00009.parquet,images/0096.png,masks/0096.png
train-00000-of-00009.parquet,images/0097.png,masks/0097.png
