card_id,domain,level
1903.02557_dash_supernova_class,astro,L1
1905.02738_evryscope_variable_stars,astro,L1
2111.10009_exominer_tess_vetting,astro,L1
2211.01901_neznet_vipers_photoz,astro,L1
2211.03400_fermi_4fgl_jetted_agn,astro,L1
2303.08092_solar_energetic_particle_ensemble,astro,L1
2305.05782_lotss_deep_source_class,astro,L1
2308.05572_gaia_wd_xp_class,astro,L1
2401.10290_kp3h_geomagnetic_storm,astro,L2
2409.14508_sn_gw_classification_eval,astro,L1
2410.06922_exoplanet_mass_incomplete,astro,L1
2412.14502_radio_galaxy_zoo_dr1,astro,L1
2504.04211_pta_normalizing_flows,astro,L2
2505.03385_solar_flare_ml_compare,astro,L2
2508.14107_suryabench_flare,astro,L2
2509.08224_grb_restframe_unsupervised,astro,L1
2510.27032_deepdisc_jwst_photoz,astro,L1
2512.06316_frb_repeater_semisupervised,astro,L1
2604.15560_exonet,astro,L1
2608.00352_thermosphere_density,astro,L1
1703.00564_moleculenet_benchmark,biomed,L1
1801.10193_deepdta,biomed,L2
1809.03393_ludb_ecg_delineation,biomed,L1
1906.08230_tape_protein_tasks,biomed,L1
2005.00687_ogb_molhiv,biomed,L2
2110.14795_medmnist_v2,biomed,L1
2112.10074_qubrats_uncertainty_seg,biomed,L1
2205.13760_tranception_proteingym,biomed,L1
2206.02096_peer_protein_bench,biomed,L1
2209.07805_covid_ehr_bench,biomed,L1
2306.15006_dnabert2_gue,biomed,L2
2307.11958_transferability_estimation_seg,biomed,L1
2308.09639_leakproof_pdbbind,biomed,L1
2406.10292_cto_trial_outcomes,biomed,L1
2407.01791_ubench_microscopy,biomed,L1
2502.20784_arseg_next_scale_seg,biomed,L1
2505.06646_chexnet_reproduction,biomed,L2
2508.04441_mitotic_benchmark,biomed,L1
2509.10151_benchecg_xecg,biomed,L1
2604.04477v1,biomed,L2
2604.04518v1,biomed,L2
2604.04842v1,biomed,L2
2604.04858v1,biomed,L2
2604.04878v1,biomed,L2
2604.04915v1,biomed,L2
2606.12651_physics_aware_gnn_ood,biomed,L2
2607.16250_multiomics_breast_cancer_er,biomed,L1
2101.02118_gbrt_vs_dnn,cs,L2
2103.12057_tsf_experimental_review,cs,L1
2308.13068_mvts_flawed_eval,cs,L2
2311.04765_voraus_ad,cs,L2
2312.01792_wildtab,cs,L1
2401.04266_attention_vs_contrastive,cs,L1
2406.00775_constrained_attack,cs,L1
2406.12747_tsibench,cs,L1
2406.16590_beyond_avg_forecast,cs,L2
2408.07579_tabularbench_adv_robustness,cs,L1
2501.14238_pointln,cs,L1
2502.05832_compression_ood,cs,L1
2505.01415_everglades_water_level,cs,L1
2506.18046_tab_tsad_bench,cs,L2
2507.05730_had_survey,cs,L1
2507.12295_textadbench,cs,L1
2509.16616_risky_investors_ranking,cs,L1
2602.13288_cloud_telemetry_ad,cs,L1
2604.04673v1,cs,L2
2604.04681v1,cs,L2
2604.04832v1,cs,L2
2604.04868v1,cs,L2
2604.04871v1,cs,L2
2604.04891v1,cs,L2
2604.04895v1,cs,L2
2604.04898v1,cs,L2
2604.04911v1,cs,L2
2604.04914v1,cs,L2
2604.04923v1,cs,L2
2604.04930v1,cs,L2
2604.08131_gnn_misinfo,cs,L1
2607.18127_cloudens,cs,L2
08_tapley_2004,earth,L2
1509.03602_deepsat,earth,L2
1608.05167_aid,earth,L1
1703.00121_resisc45,earth,L1
1705.10450_rsi_cb256,earth,L1
1706.03424_patternnet,earth,L1
1709.00029_eurosat,earth,L1
1712.07835_rsicd,earth,L1
1810.08468_oscd,earth,L1
1902.06701_hybridsn,earth,L2
1912.12171_so2sat,earth,L1
2003.07333_rsvqa,earth,L2
2005.02264_landcover_ai,earth,L1
2010.00243_mlrsnet,earth,L2
2012.02951_floodnet,earth,L2
2103.10368_msmatch_ucmerced,earth,L1
2104.02846_multiscene,earth,L1
2110.08733_loveda,earth,L1
2206.00515_landslide4sense,earth,L2
2304.11619_satin,earth,L1
2506.07080_flair_hub,earth,L1
bensen_2007,earth,L2
bonjean_2002,earth,L2
gehlen_2019,earth,L2
pages2k_2019,earth,L2
wong_2020,earth,L2
1811.08425_small_xrd_classification,materials,L2
1906.08888_mliap_performance_cost,materials,L1
2001.10591_stability_ml_predictions,materials,L1
2101.00269_shannon_ionic_radii_ml,materials,L1
2111.05557_piezoelectric_ml,materials,L1
2203.14090_radonpy_polymer_informatics,materials,L1
2207.04009_mg_mtp_defect_training,materials,L1
2210.11343_mala_size_transfer,materials,L2
2211.15895_bertos_oxidation_state,materials,L1
2401.11052_llm_materials_mining,materials,L2
2401.15089_pst_matbench,materials,L2
2501.02144_gen_discovery_baselines,materials,L1
2507.11806_mofsim_benchmark,materials,L1
2509.07417_zeolite_mlip_bench,materials,L1
2509.20164_lowdim_materials_screening,materials,L2
2511.22885_mech_props_mlip,materials,L1
2604.13897_molcryst_mlips,materials,L1
2606.23725_comp_refs_not_experiments,materials,L2
2607.06645_batterymat,materials,L1
2608.06662_mlip_cross_geometry,materials,L2
