domain,card,level,target_interval
astro,1903.02557_dash_supernova_class,L1,40–50
astro,1905.02738_evryscope_variable_stars,L1,1
astro,2111.10009_exominer_tess_vetting,L1,1
astro,2211.01901_neznet_vipers_photoz,L1,1
astro,2211.03400_fermi_4fgl_jetted_agn,L1,1
astro,2303.08092_solar_energetic_particle_ensemble,L1,40–50
astro,2305.05782_lotss_deep_source_class,L1,1
astro,2308.05572_gaia_wd_xp_class,L1,1
astro,2401.10290_kp3h_geomagnetic_storm,L2,1
astro,2410.06922_exoplanet_mass_incomplete,L1,
astro,2412.14502_radio_galaxy_zoo_dr1,L1,1
astro,2504.04211_pta_normalizing_flows,L2,
astro,2508.14107_suryabench_flare,L2,30（±10）
astro,2509.08224_grb_restframe_unsupervised,L1,1
astro,2510.27032_deepdisc_jwst_photoz,L1,
astro,2512.06316_frb_repeater_semisupervised,L1,1
astro,2604.15560_exonet,L1,
astro,2608.00352_thermosphere_density,L1,40–50（±10
biomed,1801.10193_deepdta,L2,30（±10）
biomed,1809.03393_ludb_ecg_delineation,L1,1（
biomed,1906.08230_tape_protein_tasks,L1,1
biomed,2005.00687_ogb_molhiv,L2,1
biomed,2110.14795_medmnist_v2,L1,1
biomed,2112.10074_qubrats_uncertainty_seg,L1,1（
biomed,2205.13760_tranception_proteingym,L1,1
biomed,2206.02096_peer_protein_bench,L1,1（
biomed,2209.07805_covid_ehr_bench,L1,1（
biomed,2306.15006_dnabert2_gue,L2,1
biomed,2307.11958_transferability_estimation_seg,L1,1（
biomed,2308.09639_leakproof_pdbbind,L1,1（
biomed,2406.10292_cto_trial_outcomes,L1,1（
biomed,2407.01791_ubench_microscopy,L1,1（
biomed,2502.20784_arseg_next_scale_seg,L1,1（
biomed,2505.06646_chexnet_reproduction,L2,2（
biomed,2508.04441_mitotic_benchmark,L1,1（
biomed,2509.10151_benchecg_xecg,L1,1（
biomed,2606.12651_physics_aware_gnn_ood,L2,1（
biomed,2607.16250_multiomics_breast_cancer_er,L1,1（
cs,2103.12057_tsf_experimental_review,L1,1
cs,2308.13068_mvts_flawed_eval,L2,30（±10）
cs,2311.04765_voraus_ad,L2,1
cs,2406.00775_constrained_attack,L1,40–50（±10）
cs,2406.12747_tsibench,L1,40–50（±10）
cs,2406.16590_beyond_avg_forecast,L2,30（±10）
cs,2408.07579_tabularbench_adv_robustness,L1,40–50（±10）
cs,2502.05832_compression_ood,L1,40–50（±10）
cs,2505.01415_everglades_water_level,L1,1
cs,2507.05730_had_survey,L1,1
cs,2507.12295_textadbench,L1,1
cs,2509.16616_risky_investors_ranking,L1,40–50（±10）
cs,2602.13288_cloud_telemetry_ad,L1,40–50（±10）
cs,2604.08131_gnn_misinfo,L1,1
cs,2607.18127_cloudens,L2,1
earth,1509.03602_deepsat,L2,40–50
earth,1608.05167_aid,L1,40–50
earth,1703.00121_resisc45,L1,40–50
earth,1705.10450_rsi_cb256,L1,40–50
earth,1706.03424_patternnet,L1,40–50
earth,1709.00029_eurosat,L1,40–50
earth,1712.07835_rsicd,L1,40–50
earth,1902.06701_hybridsn,L2,40–50
earth,1912.12171_so2sat,L1,40–50
earth,2003.07333_rsvqa,L2,40–50
earth,2010.00243_mlrsnet,L2,40–50
earth,2012.02951_floodnet,L2,40–50
earth,2104.02846_multiscene,L1,40–50
earth,2110.08733_loveda,L1,40–50
earth,2304.11619_satin,L1,40–50
materials,1811.08425_small_xrd_classification,L2,40–50（
materials,1906.08888_mliap_performance_cost,L1,1
materials,2001.10591_stability_ml_predictions,L1,1
materials,2101.00269_shannon_ionic_radii_ml,L1,1
materials,2111.05557_piezoelectric_ml,L1,1
materials,2203.14090_radonpy_polymer_informatics,L1,1
materials,2207.04009_mg_mtp_defect_training,L1,1
materials,2210.11343_mala_size_transfer,L2,2
materials,2211.15895_bertos_oxidation_state,L1,40–50
materials,2401.11052_llm_materials_mining,L2,30（±10
materials,2401.15089_pst_matbench,L2,2
materials,2501.02144_gen_discovery_baselines,L1,30（±10）
materials,2507.11806_mofsim_benchmark,L1,40–50（
materials,2509.07417_zeolite_mlip_bench,L1,40–50（
materials,2509.20164_lowdim_materials_screening,L2,2
materials,2511.22885_mech_props_mlip,L1,40–50
materials,2604.13897_molcryst_mlips,L1,1
materials,2606.23725_comp_refs_not_experiments,L2,30（±10
materials,2607.06645_batterymat,L1,40–50（
materials,2608.06662_mlip_cross_geometry,L2,40–50
earth,08_tapley_2004,L2,
biomed,2604.04477v1,L2,
biomed,2604.04518v1,L2,
cs,2604.04673v1,L2,
cs,2604.04832v1,L2,
cs,2604.04681v1,L2,
biomed,2604.04842v1,L2,
cs,2604.04868v1,L2,
