source,domain,card,total,A1,A2,A3,A,B,conclusion,n_anchors,submission_class,enforce_note,ok
main,astro,2211.01901_neznet_vipers_photoz,95.0,19.0,24.0,14.0,57.0,38.0,supported,10,a,,True
main,astro,2111.10009_exominer_tess_vetting,100.0,20.0,25.0,15.0,60.0,40,supported,4,a,,True
main,astro,1903.02557_dash_supernova_class,75.0,15.0,13.0,11.0,39.0,36.0,partially_supported,6,a,,True
main,astro,1905.02738_evryscope_variable_stars,100.0,20.0,25.0,15.0,60.0,40,supported,4,a,,True
main,astro,2308.05572_gaia_wd_xp_class,100.0,20.0,25.0,15.0,60.0,40,supported,4,a,,True
main,astro,2305.05782_lotss_deep_source_class,100.0,20.0,25.0,15.0,60.0,40,supported,4,a,,True
main,astro,2409.14508_sn_gw_classification_eval,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,5,not_submitted,empty agent_solution -> not_submitted,True
main,astro,2211.03400_fermi_4fgl_jetted_agn,95.0,20.0,20.0,15.0,55.0,40,partially_supported,7,a,,True
main,astro,2401.10290_kp3h_geomagnetic_storm,86.0,19.0,18.0,11.0,48.0,38.0,partially_supported,3,a,,True
main,astro,2303.08092_solar_energetic_particle_ensemble,71.0,16.0,12.0,5.0,33.0,38.0,partially_supported,22,a,,True
main,astro,2412.14502_radio_galaxy_zoo_dr1,100.0,20.0,25.0,15.0,60.0,40,supported,10,a,,True
main,astro,2505.03385_solar_flare_ml_compare,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,8,not_submitted,empty agent_solution -> not_submitted,True
main,astro,2410.06922_exoplanet_mass_incomplete,77.0,18.0,13.0,14.0,45.0,32.0,partially_supported,4,a,,True
main,astro,2504.04211_pta_normalizing_flows,64.0,18.0,6.0,5.0,29.0,35.0,partially_supported,3,a,,True
main,astro,2508.14107_suryabench_flare,84.0,19.0,12.0,15.0,46.0,38.0,partially_supported,6,a,,True
main,astro,2510.27032_deepdisc_jwst_photoz,71.0,12.0,14.0,10.0,36.0,35.0,partially_supported,4,a,,True
main,astro,2512.06316_frb_repeater_semisupervised,100.0,20.0,25.0,15.0,60.0,40,supported,3,a,,True
main,astro,2509.08224_grb_restframe_unsupervised,100.0,20.0,25.0,15.0,60.0,40,supported,17,a,,True
main,biomed,1703.00564_moleculenet_benchmark,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,5,not_submitted,empty agent_solution -> not_submitted,True
main,astro,2604.15560_exonet,88.0,20.0,13.0,15.0,48.0,40,partially_supported,9,a,,True
main,astro,2608.00352_thermosphere_density,100.0,20.0,25.0,15.0,60.0,40,supported,8,a,,True
main,biomed,1801.10193_deepdta,0.0,0.0,0.0,0.0,0.0,0,inconclusive,6,b,,True
main,biomed,2005.00687_ogb_molhiv,67.0,19.0,14.0,14.0,47.0,20.0,partially_supported,5,a,,True
main,biomed,2110.14795_medmnist_v2,92.0,19.0,24.0,11.0,54.0,38.0,supported,6,a,,True
main,biomed,1906.08230_tape_protein_tasks,58.0,14.0,12.0,12.0,38.0,20.0,partially_supported,4,a,,True
main,biomed,1809.03393_ludb_ecg_delineation,85.0,19.0,14.0,14.0,47.0,38.0,partially_supported,8,a,,True
main,biomed,2205.13760_tranception_proteingym,95.0,19.0,24.0,14.0,57.0,38.0,supported,4,a,,True
main,biomed,2112.10074_qubrats_uncertainty_seg,100.0,20.0,25.0,15.0,60.0,40,supported,6,a,,True
main,biomed,2307.11958_transferability_estimation_seg,79.0,19.0,13.0,11.0,43.0,36.0,partially_supported,5,a,,True
main,biomed,2306.15006_dnabert2_gue,90.0,20.0,18.0,12.0,50.0,40,partially_supported,5,a,,True
main,biomed,2209.07805_covid_ehr_bench,84.0,19.0,13.0,14.0,46.0,38.0,partially_supported,6,a,,True
main,biomed,2206.02096_peer_protein_bench,93.0,20.0,18.0,15.0,53.0,40,partially_supported,7,a,,True
main,biomed,2407.01791_ubench_microscopy,81.0,19.0,12.0,14.0,45.0,36.0,partially_supported,4,a,,True
main,biomed,2406.10292_cto_trial_outcomes,84.0,19.0,13.0,14.0,46.0,38.0,partially_supported,4,a,,True
main,biomed,2308.09639_leakproof_pdbbind,80.0,19.0,12.0,11.0,42.0,38.0,partially_supported,6,a,,True
main,biomed,2502.20784_arseg_next_scale_seg,73.0,19.0,8.0,11.0,38.0,35.0,partially_supported,5,a,,True
main,biomed,2509.10151_benchecg_xecg,73.0,15.0,8.0,14.0,37.0,36.0,inconclusive,6,a,,True
main,biomed,2505.06646_chexnet_reproduction,83.0,19.0,12.0,14.0,45.0,38.0,partially_supported,5,a,,True
main,biomed,2508.04441_mitotic_benchmark,94.0,19.0,23.0,14.0,56.0,38.0,supported,6,a,,True
main,cs,2101.02118_gbrt_vs_dnn,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,5,not_submitted,empty agent_solution -> not_submitted,True
main,biomed,2606.12651_physics_aware_gnn_ood,85.0,19.0,14.0,14.0,47.0,38.0,partially_supported,6,a,,True
main,biomed,2607.16250_multiomics_breast_cancer_er,46.0,8.0,8.0,8.0,24.0,22.0,partially_supported,7,a,,True
main,cs,2103.12057_tsf_experimental_review,41.0,6.0,13.0,10.0,29.0,12.0,partially_supported,4,b,,True
main,cs,2401.04266_attention_vs_contrastive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,,not_submitted,empty agent_solution -> not_submitted,True
main,cs,2312.01792_wildtab,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,4,not_submitted,empty agent_solution -> not_submitted,True
main,cs,2308.13068_mvts_flawed_eval,100.0,20.0,25.0,15.0,60.0,40,partially_supported,4,a, | downgraded: 1 anchors out of tolerance,True
main,cs,2311.04765_voraus_ad,60.0,12.0,15.0,8.0,35.0,25.0,partially_supported,6,a,,True
main,cs,2406.00775_constrained_attack,100.0,20.0,25.0,15.0,60.0,40,supported,3,a,,True
main,cs,2406.12747_tsibench,100.0,20.0,25.0,15.0,60.0,40,supported,7,a,,True
main,cs,2408.07579_tabularbench_adv_robustness,100.0,20.0,25.0,15.0,60.0,40,supported,5,a,,True
